City,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lesosibirsk,58.2358,92.4828,37.24,90,96,6.51,RU,1619910693
Bétaré Oya,5.6,14.0833,66.42,93,100,4.03,CM,1619910694
Santa Isabel Rio Negro,-0.4139,-65.0192,74.8,95,60,0.96,BR,1619910674
Tomatlán,19.9333,-105.25,88.47,25,0,11.86,MX,1619910694
Eyl,7.9803,49.8164,83.43,74,44,8.32,SO,1619910695
Plouzané,48.3833,-4.6167,42.8,75,0,3.44,FR,1619910695
Fare,-16.7,-151.0167,81.05,67,96,3.69,PF,1619910695
Zhangaözen,43.3,52.8,61.81,24,93,13.2,KZ,1619910696
Ketchikan,55.3422,-131.6461,48.2,93,90,8.05,US,1619910401
Tiksi,71.6872,128.8694,22.6,98,100,3.53,RU,1619910479
Chui,-33.6971,-53.4616,62.71,91,1,6.06,UY,1619910112
La Asuncion,11.0333,-63.8628,86.0,54,74,19.57,VE,1619910696
Touros,-5.1989,-35.4608,77.0,88,20,3.44,BR,1619910696
Asău,46.4333,26.4,57.99,56,100,3.09,RO,1619910697
Opuwo,-18.0607,13.84,70.84,48,65,2.15,NA,1619910697
Cockburn Town,21.4612,-71.1419,80.6,69,40,11.5,TC,1619910697
Mahajanga,-15.7167,46.3167,78.8,89,20,3.44,MG,1619910541
Kavieng,-2.5744,150.7967,83.61,69,36,1.79,PG,1619910464
Ribeira Grande,38.5167,-28.7,62.6,94,75,16.11,PT,1619910427
Rawson,-43.3002,-65.1023,62.06,52,100,11.14,AR,1619910521
Qaqortoq,60.7167,-46.0333,44.6,24,20,39.12,GL,1619910429
Sistranda,63.7256,8.834,32.0,86,20,3.44,NO,1619910698
Saint-Joseph,-21.3667,55.6167,73.99,68,0,6.91,RE,1619910633
Belmonte,-15.8631,-38.8828,71.6,88,75,3.44,BR,1619910570
Hambantota,6.1241,81.1185,79.43,81,95,1.81,LK,1619910699
Mackay,-21.15,149.2,72.0,78,40,14.97,AU,1619910643
Kodino,63.7198,39.6447,28.06,93,97,7.23,RU,1619910699
Constitución,-35.3333,-72.4167,54.91,94,100,7.56,CL,1619910700
Boqueirão,-7.5,-36.1333,75.2,78,20,8.05,BR,1619910700
Mbaïki,3.8678,17.9892,69.22,97,85,1.23,CF,1619910700
Ordu,40.9086,37.6845,50.0,100,90,4.61,TR,1619910605
Hay River,60.8156,-115.7999,26.6,74,100,13.8,CA,1619910701
Peleduy,59.6289,112.7406,36.12,97,100,3.44,RU,1619910701
Kaitangata,-46.2817,169.8464,59.0,56,10,4.0,NZ,1619910702
Muravlenko,63.7898,74.523,30.2,84,100,17.92,RU,1619910426
Corn Island,12.1694,-83.0418,81.21,71,72,8.66,NI,1619910582
Taoudenni,22.6783,-3.9836,87.42,28,15,9.06,ML,1619910534
Port Lincoln,-34.7333,135.8667,60.85,74,100,11.56,AU,1619910702
Erdemli,36.605,34.3084,72.75,54,48,7.09,TR,1619910422
Beohāri,24.05,81.3833,84.22,27,75,5.73,IN,1619910703
Vega de Alatorre,20.0333,-96.6333,80.76,81,54,6.11,MX,1619910703
Sivaki,52.6333,126.75,45.14,48,77,6.55,RU,1619910703
Bambanglipuro,-7.95,110.2833,75.99,87,99,3.85,ID,1619910704
Vila do Maio,15.1333,-23.2167,71.6,78,40,19.57,CV,1619910704
Saskylakh,71.9167,114.0833,32.5,91,100,1.66,RU,1619910704
Vila Franca do Campo,37.7167,-25.4333,59.0,94,75,11.5,PT,1619910704
Sémbé,1.6481,14.5806,71.22,92,60,1.7,CG,1619910705
Idukki,9.85,76.9667,69.71,93,85,2.77,IN,1619910705
Petropavlovsk-Kamchatskiy,53.0452,158.6483,33.8,100,90,6.71,RU,1619910705
Tilichiki,60.4667,166.1,21.61,75,9,8.75,RU,1619910706
Kaspiysk,42.8816,47.6392,57.2,88,91,4.47,RU,1619910706
Skjervøy,70.0311,20.9714,31.41,64,100,5.23,NO,1619910706
Najrān,17.4924,44.1277,77.0,19,40,2.3,SA,1619910707
Cap Malheureux,-19.9842,57.6142,75.0,89,12,3.0,MU,1619910707
Konëvo,62.1215,39.3192,29.46,50,1,9.89,RU,1619910707
Oistins,13.0667,-59.5333,78.8,65,20,14.97,BB,1619910708
Muniz Freire,-20.4642,-41.4131,59.54,98,96,1.97,BR,1619910708
Esperance,-33.8667,121.9,50.0,81,0,13.8,AU,1619910708
Visby,57.6409,18.296,37.4,93,90,4.61,SE,1619910709
Fort Nelson,58.8053,-122.7002,55.4,38,75,11.5,CA,1619910709
Tulun,54.5611,100.5792,40.17,82,100,4.27,RU,1619910709
Luján,-34.5703,-59.105,66.99,70,1,1.99,AR,1619910710
Kintinku,-5.8833,35.2333,68.86,88,85,0.81,TZ,1619910710
Rosignano Marittimo,43.4079,10.4729,59.0,94,40,2.3,IT,1619910711
Kargil,34.5667,76.1,35.96,51,68,4.59,IN,1619910711
Loandjili,-4.7561,11.8578,80.6,89,20,4.61,CG,1619910711
Calama,-22.4667,-68.9333,59.0,18,0,13.8,CL,1619910656
Port Hardy,50.6996,-127.4199,50.0,76,40,13.8,CA,1619910712
Kushiro,42.975,144.3747,39.2,75,75,8.05,JP,1619910712
Tambopata,-12.7333,-69.1833,78.8,78,0,1.14,PE,1619910712
Yamada,39.4667,141.95,47.93,91,100,6.89,JP,1619910713
Lüderitz,-26.6481,15.1594,76.51,25,0,17.87,NA,1619910713
Plettenberg Bay,-34.0527,23.3716,58.15,71,0,4.34,ZA,1619910713
Bumba,2.1833,22.4667,71.29,91,91,1.77,CD,1619910714
Rapid Valley,44.0625,-103.1463,78.8,21,1,5.75,US,1619910714
Guangyuan,32.442,105.823,68.2,90,89,2.42,CN,1619910513
Kahului,20.8947,-156.47,84.2,58,40,19.57,US,1619910534
Tshikapa,-6.4167,20.8,69.44,96,100,2.77,CD,1619910590
Mayo,38.8876,-76.5119,66.2,20,1,5.75,US,1619910714
Moose Factory,51.2585,-80.6094,26.6,93,90,12.66,CA,1619910683
Shenjiamen,29.9576,122.298,60.57,81,15,1.54,CN,1619910482
Avera,33.194,-82.5271,78.8,34,1,5.75,US,1619910715
Kruisfontein,-34.0033,24.7314,54.1,75,0,5.32,ZA,1619910715
Saint George,37.1041,-113.5841,91.4,7,1,28.77,US,1619910661
Haikou,20.0458,110.3417,77.0,94,88,4.47,CN,1619910676
Bairiki Village,1.3292,172.9752,86.0,74,40,6.91,KI,1619910716
Marshall,34.3834,-86.3333,77.0,25,1,4.61,US,1619910435
Sulejówek,52.2522,21.269,48.99,86,100,8.1,PL,1619910716
Hastings,50.8552,0.5729,41.0,93,82,4.61,GB,1619910717
San Francisco de Becerra,14.6333,-86.1,89.6,40,40,2.3,HN,1619910717
Olbia,40.9214,9.4856,59.0,72,0,16.11,IT,1619910717
Cabo San Lucas,22.8909,-109.9124,78.8,47,1,6.91,MX,1619910462
Havre-St-Pierre,50.2334,-63.5986,41.0,81,90,16.11,CA,1619910659
Riyadh,24.6877,46.7219,78.8,22,0,3.44,SA,1619910718
Tura,25.5198,90.2201,70.2,75,9,4.83,IN,1619910718
Garoowe,8.4054,48.4845,80.64,66,97,8.61,SO,1619910719
Okoneshnikovo,54.8377,75.0834,38.37,51,6,7.92,RU,1619910719
Navahrudak,53.6,25.8333,42.85,92,100,5.88,BY,1619910719
Kloulklubed,7.0419,134.2556,80.6,89,90,6.91,PW,1619910699
Mbandaka,0.0487,18.2603,71.31,97,92,3.24,CD,1619910720
Hofn,64.2539,-15.2082,36.63,67,100,14.67,IS,1619910720
Barraute,48.4335,-77.6328,35.6,93,90,10.36,CA,1619910721
Kizilskoye,52.7255,58.8937,47.95,62,78,9.44,RU,1619910721
Melong,5.1218,9.9614,67.44,93,97,0.67,CM,1619910721
Kaoma,-14.7833,24.8,63.01,96,85,3.65,ZM,1619910722
Athmallik,20.7219,84.5348,78.01,61,12,4.0,IN,1619910722
Sambava,-14.2667,50.1667,75.04,91,18,5.79,MG,1619910723
San Miguel de Tucumán,-26.8241,-65.2226,69.8,73,12,3.98,AR,1619910721
Srednekolymsk,67.45,153.6833,27.05,78,10,6.49,RU,1619910723
Dulce Grande,23.0,-102.1667,75.2,7,1,34.52,MX,1619910723
Mount Isa,-20.7333,139.5,77.0,47,2,9.22,AU,1619910508
Ambilobe,-13.2,49.05,72.66,95,14,3.09,MG,1619910724
